Place_Id,Mean_Rating,Place_Name,Category,City,Price,Time_Minutes,Lat,Long
33,2.9615384615384617,Taman Suropati,Taman Hiburan,Jakarta,0,90.0,-6.1994034,106.8326228
34,3.272727272727273,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,0,60.0,-6.241369,106.7890587
35,3.0,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,0,120.0,-6.1951801,106.8204412
36,3.2962962962962963,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,110000,180.0,-6.178996,106.791941
37,3.3461538461538463,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,10000,90.0,-6.3602487,106.893842
38,3.04,Istana Negara Republik Indonesia,Budaya,Jakarta,0,90.0,-6.168069,106.8239727
39,3.24,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,100000,120.0,-6.190942,106.767622
40,3.238095238095238,Galeri Nasional Indonesia,Budaya,Jakarta,0,90.0,-6.1785482,106.8327716
41,3.111111111111111,Museum Bahari Jakarta,Budaya,Jakarta,2000,120.0,-6.1269553,106.8085899
42,2.6296296296296298,Museum Seni Rupa dan Kramik,Budaya,Jakarta,5000,90.0,-6.1342598,106.814552
43,2.6333333333333333,The Escape Hunt,Taman Hiburan,Jakarta,70000,120.0,-6.2555033,106.8122591
44,3.6315789473684212,Monumen Selamat Datang,Budaya,Jakarta,0,15.0,-6.1949978,106.8230496
45,2.7142857142857144,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,185000,90.0,-6.1752647,106.7904684
46,2.782608695652174,Pulau Semak Daun,Bahari,Jakarta,40000,90.0,-5.7296716,106.5714158
47,2.9655172413793105,Taman Situ Lembang,Taman Hiburan,Jakarta,0,90.0,-6.1978861,106.8346708
48,2.6,Taman Ismail Marzuki,Budaya,Jakarta,5000,90.0,-6.1891586,106.8397738
49,3.076923076923077,Galeri Indonesia Kaya,Budaya,Jakarta,0,90.0,-6.1948499,106.8200607
50,2.9545454545454546,Museum Joang 45,Budaya,Jakarta,2000,90.0,-6.1861838,106.8364761
51,3.25,Jakarta Planetarium,Taman Hiburan,Jakarta,12000,120.0,-6.1900819,106.8388532
52,3.8421052631578947,Kampung Cina,Budaya,Jakarta,15000,90.0,-6.3651357,106.7617984
53,3.4,Rumah Sipitung,Budaya,Jakarta,5000,90.0,-6.10016,106.96057
54,2.962962962962963,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0,90.0,-6.3401514,106.9012561
55,3.0,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0,90.0,-6.1444737,106.8126018
56,3.033333333333333,Pantai Ancol,Bahari,Jakarta,25000,90.0,-6.1194215,106.8502435
57,3.0,Taman Lapangan Banteng,Taman Hiburan,Jakarta,0,90.0,-6.170555,106.8350378
58,2.9375,Taman Ayodya,Taman Hiburan,Jakarta,0,45.0,-6.2452294,106.7946655
59,2.857142857142857,Museum Sumpah Pemuda,Budaya,Jakarta,2000,90.0,-6.1838388,106.8430507
60,3.5294117647058822,Museum Tekstil,Budaya,Jakarta,5000,45.0,-6.1879634,106.8096081
61,3.076923076923077,Tugu Proklamasi,Budaya,Jakarta,0,90.0,-6.2030468,106.8466623
62,2.761904761904762,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,30000,90.0,-6.3039042,106.8936219
63,3.1578947368421053,Museum Kebangkitan Nasional,Budaya,Jakarta,2000,45.0,-6.178352,106.838094
64,2.5652173913043477,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,2000,45.0,-6.2046303,106.8365324
65,2.8947368421052633,Museum Basoeki Abdullah,Budaya,Jakarta,1000,90.0,-6.2897885,106.7932681
66,2.7142857142857144,Museum Layang-layang,Budaya,Jakarta,10000,90.0,-6.3080282,106.790548
67,3.4210526315789473,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,15.0,-6.1160075,106.7692016
68,3.1538461538461537,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,0,45.0,-6.1436722,106.8129398
69,3.32,Freedom Library,Budaya,Jakarta,0,90.0,-6.2022482,106.8451968
70,3.1739130434782608,Perpustakaan Nasional,Budaya,Jakarta,0,240.0,-6.1812918,106.8268717
71,2.9473684210526314,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,50000,90.0,-6.3799969,106.8949793
72,3.076923076923077,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,300000,90.0,-6.1136559,106.7478596
73,2.25,Museum Perangko,Budaya,Jakarta,5000,90.0,-6.3041841,106.9017725
74,2.8461538461538463,Museum Tengah Kebun,Budaya,Jakarta,0,120.0,-6.267513,106.824107
75,2.75,SnowBay Waterpark,Taman Hiburan,Jakarta,180000,90.0,-6.2992718,106.89151
76,2.814814814814815,Taman Cattleya,Taman Hiburan,Jakarta,20000,90.0,-6.1810843,106.7954476
77,2.6666666666666665,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,60.0,-6.2371409,106.8526505
78,3.033333333333333,Hutan Kota Srengseng,Taman Hiburan,Jakarta,1000,90.0,-6.2106945,106.7643954
79,3.4782608695652173,Taman Spathodea,Taman Hiburan,Jakarta,0,30.0,-6.3226133,106.8241871
80,3.32,Plaza Indonesia,Pusat Perbelanjaan,Jakarta,0,120.0,-6.1939259,106.8222158
81,2.6956521739130435,Mall Thamrin City,Pusat Perbelanjaan,Jakarta,0,60.0,-6.1946096,106.817905
82,3.0,Museum Satria Mandala,Budaya,Jakarta,5000,150.0,-6.2316985,106.8185425
83,3.5,Alive Museum Ancol,Taman Hiburan,Jakarta,200000,90.0,-6.1175344,106.857313
84,2.9523809523809526,Kawasan Kuliner BSM,Pusat Perbelanjaan,Jakarta,0,90.0,-6.1842588,106.824033
85,2.72,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,6000,120.0,-7.8006715,110.3676551
86,3.12,Keraton Yogyakarta,Budaya,Yogyakarta,15000,60.0,-7.8052845,110.3642031
87,3.111111111111111,Sindu Kusuma Edupark (SKE),Taman Hiburan,Yogyakarta,20000,120.0,-7.7672973,110.3542486
88,3.125,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,3000,120.0,-7.8002016,110.3663044
89,2.774193548387097,De Mata Museum Jogja,Budaya,Yogyakarta,50000,60.0,-7.8163156,110.3871442
90,3.590909090909091,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,5000,60.0,-7.8100673,110.3594581
91,3.4285714285714284,Situs Warungboto,Taman Hiburan,Yogyakarta,0,60.0,-7.8102685,110.3931513
92,3.380952380952381,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,0,45.0,-7.8013803,110.3647652
93,2.7916666666666665,Gembira Loka Zoo,Cagar Alam,Yogyakarta,60000,60.0,-7.8062344,110.3967977
94,3.4583333333333335,Sumur Gumuling,Taman Hiburan,Yogyakarta,7000,60.0,-7.8087911,110.3591825
95,3.32,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,0,60.0,-7.8229089,110.3756894
96,2.84,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,0,60.0,-7.8116719,110.363238
97,3.761904761904762,Monumen Yogya Kembali,Budaya,Yogyakarta,15000,30.0,-7.7495904,110.3696068
98,3.45,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,15000,60.0,-7.7505259,110.3687049
99,3.1666666666666665,Kampung Wisata Kadipaten,Budaya,Yogyakarta,0,60.0,-7.806093,110.35831
100,3.238095238095238,Taman Budaya Yogyakarta,Budaya,Yogyakarta,0,210.0,-7.8001041,110.3676579
101,2.75,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,0,60.0,-7.79219,110.362151
102,2.9166666666666665,Monumen Batik Yogyakarta,Budaya,Yogyakarta,40000,15.0,-7.8011159,110.3646172
103,3.0,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,0,15.0,-7.7829437,110.3670548
104,2.1739130434782608,Tebing Breksi,Budaya,Yogyakarta,20000,60.0,-7.7815714,110.5045827
105,3.0,Candi Donotirto,Budaya,Yogyakarta,0,25.0,-7.7955613,110.3612095
106,3.1818181818181817,Kawasan Malioboro,Taman Hiburan,Yogyakarta,0,60.0,-7.793167,110.3655238
107,3.0,Bangsal Pagelaran,Budaya,Yogyakarta,5000,60.0,-7.8052843,110.3642137
108,3.210526315789474,Embung Tambakboyo,Taman Hiburan,Yogyakarta,0,60.0,-7.756227,110.4150131
109,2.6818181818181817,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,3000,60.0,-7.8704832,110.4599108
110,2.875,Monumen Serangan Umum 1 Maret,Taman Hiburan,Yogyakarta,3000,60.0,-7.8010124,110.3653376
111,3.0434782608695654,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,3000,60.0,-7.9020355,110.4374627
112,3.764705882352941,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,25000,90.0,-7.8458407,110.4798457
113,3.0,Gedung Agung Yogyakarta,Budaya,Yogyakarta,0,60.0,-7.8001506,110.3637507
114,2.933333333333333,The Lost World Castle,Taman Hiburan,Yogyakarta,30000,60.0,-7.6041648,110.4510042
115,3.4,Monumen Sanapati,Budaya,Yogyakarta,15000,60.0,-7.7881728,110.3715403
116,3.1363636363636362,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,2500,45.0,-7.9401065,110.4300062
117,3.5238095238095237,The World Landmarks - Merapi Park Yogyakarta,Taman Hiburan,Yogyakarta,22000,90.0,-7.6209046,110.4216275
118,3.090909090909091,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,5000,120.0,-7.8024499,110.3639555
119,2.65,Lava Bantal,Budaya,Yogyakarta,5000,30.0,-7.8081518,110.4595183
120,2.84,Bukit Panguk Kediwung,Budaya,Yogyakarta,250000,90.0,-7.9583695,110.4407622
121,2.9,Candi Prambanan,Budaya,Yogyakarta,50000,60.0,-7.7520206,110.4914674
122,3.4444444444444446,Watu Goyang,Budaya,Yogyakarta,2500,45.0,-7.9274086,110.4120586
123,3.05,Kampung Wisata Rejowinangun,Budaya,Yogyakarta,0,60.0,-7.8152776,110.3988359
124,2.5384615384615383,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,0,60.0,-7.8010347,110.3751922
125,3.2941176470588234,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,0,60.0,-7.8038975,110.3644232
126,3.0476190476190474,Pantai Goa Cemara,Bahari,Yogyakarta,4000,60.0,-7.999423,110.248963
127,3.1379310344827585,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,10000,60.0,-7.7044358,110.45026
128,3.25,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,0,90.0,-8.0173266,110.3180791
129,3.176470588235294,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,2000,60.0,-7.9157997,110.4366436
130,2.7857142857142856,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,10000,120.0,-7.8057936,110.2367304
131,3.3157894736842106,Watu Lumbung,Cagar Alam,Yogyakarta,5000,30.0,-7.9924379,110.317778
132,3.590909090909091,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,20000,60.0,-7.7699875,110.1210707
133,2.85,Puncak Kebun Buah Mangunan,Taman Hiburan,Yogyakarta,5000,90.0,-7.9413718,110.4247345
134,3.6333333333333333,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,10000,60.0,-7.8055232,110.2374676
135,2.9565217391304346,Kawasan Wisata Sosrowijayan,Pusat Perbelanjaan,Yogyakarta,0,60.0,-7.7916235,110.361956
136,3.4285714285714284,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,10000,90.0,-7.6340172,110.33837
137,3.125,Wisata Alam Kalibiru,Cagar Alam,Yogyakarta,20000,90.0,-7.8057305,110.127969
138,3.5416666666666665,Jogja Exotarium,Taman Hiburan,Yogyakarta,20000,120.0,-7.7280356,110.3591712
139,3.8823529411764706,Puncak Gunung Api Purba - Nglanggeran,Cagar Alam,Yogyakarta,10000,60.0,-7.841253,110.543056
140,3.25,Bendung Lepen,Taman Hiburan,Yogyakarta,0,60.0,-7.8316668,110.3945119
141,3.2,Bunker Kaliadem Merapi,Cagar Alam,Yogyakarta,3000,45.0,-7.5829198,110.4476816
142,3.392857142857143,Ledok Sambi,Cagar Alam,Yogyakarta,0,150.0,-7.6470943,110.4280998
143,3.3181818181818183,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,2000,90.0,-7.9310984,110.430919
144,2.9047619047619047,Goa Jomblang,Cagar Alam,Yogyakarta,500000,60.0,-8.0281562,110.6383307
145,2.9545454545454546,Desa Wisata Rumah Domes/Teletubbies,Taman Hiburan,Yogyakarta,5000,60.0,-7.8136085,110.5033442
146,3.5,Bukit Wisata Pulepayung,Cagar Alam,Yogyakarta,10000,60.0,-7.8001106,110.1238954
147,3.0526315789473686,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,0,60.0,-7.7857242,110.3746954
148,3.142857142857143,Goa Rancang Kencono,Cagar Alam,Yogyakarta,5000,30.0,-7.9492612,110.4926511
149,3.0454545454545454,Goa Cerme,Cagar Alam,Yogyakarta,3000,90.0,-7.9794413,110.3803114
150,3.0,Wisata Kraton Jogja,Budaya,Yogyakarta,7000,60.0,-7.8067535,110.3636659
151,2.88,Desa Wisata Kelor,Taman Hiburan,Yogyakarta,0,90.0,-7.6410258,110.3622794
152,3.0,Pantai Patihan,Bahari,Yogyakarta,5000,45.0,-7.997778,110.2449113
153,2.789473684210526,Pantai Kukup,Bahari,Yogyakarta,10000,60.0,-8.1338763,110.5548349
154,3.230769230769231,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,10000,60.0,-8.1333389,110.5537405
155,3.090909090909091,Pantai Ngobaran,Bahari,Yogyakarta,5000,60.0,-8.1184844,110.5028785
156,3.25,Pantai Pulang Sawal,Bahari,Yogyakarta,10000,60.0,-8.1506589,110.6126311
157,3.6956521739130435,Pantai Baron,Bahari,Yogyakarta,10000,60.0,-8.1288246,110.5487763
158,2.857142857142857,Pantai Pok Tunggal,Bahari,Yogyakarta,10000,60.0,-8.1554468,110.6217582
159,2.8518518518518516,Hutan Pinus Asri,Cagar Alam,Yogyakarta,2500,60.0,-7.9209209,110.4355651
160,3.4782608695652173,Pasar Kebon Empring Bintaran,Pusat Perbelanjaan,Yogyakarta,0,60.0,-7.8363205,110.4575806
161,3.076923076923077,"Bukit Paralayang, Watugupit",Cagar Alam,Yogyakarta,5000,90.0,-8.0268551,110.3459122
162,2.8636363636363638,Kampung Wisata Dipowinatan,Budaya,Yogyakarta,220000,60.0,-7.8105529,110.3704987
163,2.5652173913043477,Watu Mabur Mangunan,Cagar Alam,Yogyakarta,2500,60.0,-7.947121,110.441
164,3.5555555555555554,Pintoe Langit Dahromo,Cagar Alam,Yogyakarta,2500,60.0,-7.913608,110.437783
165,3.0,Green Village Gedangsari,Taman Hiburan,Yogyakarta,2000,60.0,-7.813094,110.615571
166,3.0476190476190474,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,6000,60.0,-7.647054,110.1414699
167,3.272727272727273,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,0,60.0,-7.974294,110.4364363
168,2.909090909090909,Pantai Timang,Bahari,Yogyakarta,10000,90.0,-8.1759266,110.6624196
169,3.1,Puncak Segoro,Cagar Alam,Yogyakarta,5000,90.0,-8.1026167,110.4562084
170,3.1052631578947367,Candi Borobudur,Budaya,Yogyakarta,50000,120.0,-7.6078738,110.2037513
171,3.3043478260869565,Candi Ijo,Budaya,Yogyakarta,5000,60.0,-7.7838276,110.5118987
172,3.3125,Pantai Indrayanti,Bahari,Yogyakarta,10000,60.0,-8.1508415,110.6129852
173,2.8333333333333335,Pantai Nglambor,Bahari,Yogyakarta,10000,60.0,-8.1827028,110.6792399
174,2.7419354838709675,Pasar Beringharjo,Pusat Perbelanjaan,Yogyakarta,0,60.0,-7.7987943,110.367443
175,2.8333333333333335,Museum Ullen Sentalu,Budaya,Yogyakarta,100000,120.0,-7.5978656,110.4233959
176,3.3333333333333335,Museum Gunung Merapi,Budaya,Yogyakarta,10000,60.0,-7.6159272,110.4243329
177,3.135135135135135,Pantai Parangtritis,Bahari,Yogyakarta,10000,60.0,-8.024608,110.3298045
178,3.3076923076923075,Goa Pindul,Cagar Alam,Yogyakarta,40000,60.0,-7.9339721,110.651966
179,3.0833333333333335,Candi Ratu Boko,Budaya,Yogyakarta,75000,90.0,-7.7705416,110.4894158
180,3.12,Pantai Depok Jogja,Bahari,Yogyakarta,10000,60.0,-8.0137087,110.2914777
181,2.5714285714285716,Pantai Sundak,Bahari,Yogyakarta,5000,60.0,-8.147072,110.6079043
182,3.176470588235294,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,5000,120.0,-7.8933459,110.0198257
183,3.4482758620689653,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,150000,60.0,-7.7478461,110.4188754
184,2.4444444444444446,Pantai Sepanjang,Bahari,Yogyakarta,10000,120.0,-8.1366656,110.5659962
185,2.8260869565217392,Pantai Krakal,Bahari,Yogyakarta,10000,60.0,-8.145019,110.5998857
186,3.235294117647059,Pantai Glagah,Bahari,Yogyakarta,5000,60.0,-7.9119427,110.0647339
187,2.7857142857142856,Pantai Siung,Bahari,Yogyakarta,10000,60.0,-8.1818233,110.6832394
188,2.8947368421052633,Pantai Sadranan,Bahari,Yogyakarta,10000,60.0,-8.145668,110.6043914
189,3.25,Pantai Nguluran,Bahari,Yogyakarta,10000,60.0,-8.1060061,110.4618655
190,3.076923076923077,Pantai Samas,Bahari,Yogyakarta,4000,45.0,-8.0045535,110.2703756
191,3.0454545454545454,Pantai Drini,Bahari,Yogyakarta,10000,60.0,-8.1384509,110.577522
192,2.9545454545454546,Air Terjun Sri Gethuk,Cagar Alam,Yogyakarta,15000,60.0,-7.943178,110.48924
193,2.962962962962963,Candi Sewu,Budaya,Yogyakarta,50000,60.0,-7.7439217,110.4929095
194,3.375,Pantai Wediombo,Bahari,Yogyakarta,5000,60.0,-8.1862462,110.709901
195,3.1,Pantai Jogan,Bahari,Yogyakarta,5000,60.0,-8.180135,110.6763715
196,3.4285714285714284,Pantai Ngrenehan,Bahari,Yogyakarta,3000,60.0,-8.1211475,110.5142337
197,3.033333333333333,Pantai Jungwok,Bahari,Yogyakarta,5000,60.0,-8.197822,110.7123397
198,3.0,Pantai Greweng,Bahari,Yogyakarta,5000,60.0,-8.1978644,110.7186216
199,3.210526315789474,Pantai Sedahan,Bahari,Yogyakarta,5000,60.0,-8.1978943,110.7208535
200,3.3333333333333335,Pantai Watu Kodok,Bahari,Yogyakarta,5000,60.0,-8.1370556,110.5746611
201,3.235294117647059,Pantai Kesirat,Bahari,Yogyakarta,5000,90.0,-8.0961535,110.4350483
202,3.2333333333333334,Pantai Ngandong,Bahari,Yogyakarta,10000,60.0,-8.146423,110.6061408
203,2.6363636363636362,Galaxy Waterpark Jogja,Taman Hiburan,Yogyakarta,40000,60.0,-7.8159633,110.4136917
204,3.272727272727273,Desa Wisata Pulesari,Taman Hiburan,Yogyakarta,0,60.0,-7.6258806,110.371698
205,3.066666666666667,Desa Wisata Tembi,Taman Hiburan,Yogyakarta,50000,60.0,-7.8725673,110.3546963
206,3.090909090909091,Wisata Kaliurang,Cagar Alam,Yogyakarta,8000,60.0,-7.6120675,110.4205209
207,2.875,Heha Sky View,Taman Hiburan,Yogyakarta,15000,120.0,-7.8496144,110.478324
208,3.3333333333333335,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,150.0,-7.7628136,110.1161626
209,2.2142857142857144,Pantai Sanglen,Bahari,Yogyakarta,10000,60.0,-8.1367456,110.5716362
210,3.3043478260869565,Pantai Congot,Bahari,Yogyakarta,3000,60.0,-7.9075425,110.0535658
211,3.2142857142857144,GunungTangkuban perahu,Cagar Alam,Bandung,30000,90.0,-6.7596377,107.6097807
212,2.875,Jalan Braga,Budaya,Bandung,0,90.0,-6.9150534,107.6089842
213,2.9130434782608696,Gedung Sate,Budaya,Bandung,5000,90.0,-6.9024812,107.61881
214,3.4444444444444446,Trans Studio Bandung,Taman Hiburan,Bandung,280000,240.0,-6.9250943,107.6364944
215,3.1,Taman Hutan Raya Ir. H. Djuanda,Cagar Alam,Bandung,15000,90.0,-6.8565791,107.6323734
216,2.92,Farm House Susu Lembang,Taman Hiburan,Bandung,30000,90.0,-6.832969,107.6056183
217,3.238095238095238,Kebun Binatang Bandung,Cagar Alam,Bandung,20000,180.0,-6.8897177,107.6077282
218,2.814814814814815,Kawah Putih,Cagar Alam,Bandung,81000,90.0,-7.1662039,107.4021256
219,2.6153846153846154,Tebing Karaton,Cagar Alam,Bandung,15000,90.0,-6.8340683,107.6636151
220,3.161290322580645,Dusun Bambu,Taman Hiburan,Bandung,25000,90.0,-6.7897147,107.5791627
221,3.0869565217391304,Museum Geologi Bandung,Budaya,Bandung,2000,90.0,-6.9007162,107.6214553
222,2.8421052631578947,Museum Konferensi Asia Afrika,Budaya,Bandung,0,60.0,-6.9211092,107.609597
223,3.1904761904761907,Masjid Raya Bandung,Tempat Ibadah,Bandung,0,90.0,-6.9216897,107.6061399
224,3.619047619047619,Dago Dreampark,Taman Hiburan,Bandung,40000,150.0,-6.8486423,107.625939
225,2.75,Orchid Forest Cikole,Taman Hiburan,Bandung,50000,150.0,-6.780493,107.637475
226,3.2,Kawasan Punclut,Taman Hiburan,Bandung,20000,120.0,-6.8419756,107.622824
227,3.3461538461538463,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,0,60.0,-6.9218571,107.6070141
228,2.9545454545454546,Museum Sri Baduga,Budaya,Bandung,3000,90.0,-6.9375748,107.603775
229,2.9285714285714284,Rabbit Town,Taman Hiburan,Bandung,45000,90.0,-6.8669518,107.6100859
230,3.625,Stone Garden Citatah,Taman Hiburan,Bandung,30000,90.0,-6.8281528,107.4350179
231,3.1363636363636362,The Great Asia Africa,Taman Hiburan,Bandung,50000,180.0,-6.833123,107.6041595
232,3.380952380952381,Bukit Moko,Cagar Alam,Bandung,25000,90.0,-6.8422202,107.6767988
233,3.096774193548387,Gunung Papandayan,Cagar Alam,Bandung,30000,90.0,-7.3193253,107.7310494
234,2.217391304347826,Amazing Art World,Budaya,Bandung,75000,45.0,-6.8516591,107.5955534
235,3.3043478260869565,Gua Belanda,Cagar Alam,Bandung,15000,45.0,-6.8544594,107.6377907
236,3.2,Taman Balai Kota Bandung,Taman Hiburan,Bandung,0,45.0,-6.912966,107.6096031
237,3.111111111111111,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,90.0,-6.9614032,107.6227321
238,3.111111111111111,Gunung Manglayang,Cagar Alam,Bandung,7500,90.0,-6.8761111,107.7436111
239,3.0,Lembang Park & Zoo,Cagar Alam,Bandung,50000,210.0,-6.8059154,107.5919726
240,3.090909090909091,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Bandung,7000,60.0,-6.911211,107.6133389
241,3.3076923076923075,Lawangwangi Creative Space,Taman Hiburan,Bandung,0,120.0,-6.847898,107.6276146
242,3.25,Curug Dago,Cagar Alam,Bandung,12000,90.0,-6.8655225,107.6181878
243,3.4285714285714284,Kampung Korea Bandung,Budaya,Bandung,15000,90.0,-6.9154546,107.640769
244,3.121212121212121,Kampung Batu Malakasari,Taman Hiburan,Bandung,10000,90.0,-7.0093633,107.6069444
245,2.9523809523809526,Jendela Alam,Taman Hiburan,Bandung,20000,150.0,-6.819604,107.5964519
246,3.357142857142857,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,10000,120.0,-6.7905692,107.5826388
247,2.7222222222222223,Kiara Artha Park,Taman Hiburan,Bandung,15000,90.0,-6.9159459,107.6421462
248,3.0606060606060606,NuArt Sculpture Park,Taman Hiburan,Bandung,50000,90.0,-6.8778589,107.5720263
249,3.45,Upside Down World Bandung,Taman Hiburan,Bandung,100000,30.0,-6.8963,107.617
250,2.8620689655172415,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,50000,90.0,-7.0409154,107.5269156
251,3.5,Taman Lansia,Taman Hiburan,Bandung,0,90.0,-6.9021326,107.6209387
252,3.1666666666666665,Kampoeng Tulip,Taman Hiburan,Bandung,15000,60.0,-6.963162,107.66195
